timestamp,temperature.gpu,utilization.gpu,utilization.memory,clocks.sm,clocks.gr,power.draw,pstate,clocks_event_reasons.active
# start 2026-08-28 09:32:10 PDT
2026/08/28 09:33:51.703, 54, 0, 0, 2411, 2411, 12.94, P0, 0x0000000000000000
2026/08/28 09:33:51.803, 54, 0, 0, 2411, 2411, 12.94, P0, 0x0000000000000000
2026/08/28 09:33:51.903, 54, 0, 0, 2411, 2411, 12.94, P0, 0x0000000000000000
2026/08/28 09:33:52.003, 54, 0, 0, 2411, 2411, 12.94, P0, 0x0000000000000000
2026/08/28 09:33:52.103, 54, 0, 0, 2411, 2411, 12.93, P0, 0x0000000000000000
2026/08/28 09:33:52.203, 54, 0, 0, 2411, 2411, 12.93, P0, 0x0000000000000000
2026/08/28 09:33:52.303, 54, 0, 0, 2411, 2411, 12.93, P0, 0x0000000000000000
2026/08/28 09:33:52.403, 54, 0, 0, 2411, 2411, 12.93, P0, 0x0000000000000000
2026/08/28 09:33:52.503, 54, 0, 0, 2411, 2411, 12.93, P0, 0x0000000000000000
2026/08/28 09:33:52.604, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:52.704, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:52.804, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:52.904, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:53.004, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:53.104, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:53.204, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:53.304, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:53.404, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:53.505, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
