request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc39_q2,True,2.827991247177124,6.320317029953003,16023,128,36.65179251927037,1787895804.431271,1787895807.2592623,1787895810.751588,
doc271_q2,True,4.7950356006622314,6.3213255405426025,16024,128,83.8634892725772,1787895804.537107,1787895809.3321426,1787895810.8584325,
doc279_q1,True,2.8522772789001465,6.527319669723511,16024,128,34.82953021701679,1787895810.7517915,1787895813.6040688,1787895817.2791111,
doc117_q1,True,4.833772659301758,6.525547981262207,16024,128,75.66016499854844,1787895810.8585649,1787895815.6923375,1787895817.3841128,
doc66_q0,True,0.8233077526092529,4.284854412078857,16022,128,36.97769020383877,1787895817.2794375,1787895818.1027453,1787895821.564292,
doc53_q2,True,2.7891159057617188,4.2740044593811035,16023,128,86.20175547047128,1787895817.3842607,1787895820.1733766,1787895821.658265,
doc166_q2,True,2.7718398571014404,4.265021085739136,16024,128,85.72301710274034,1787895821.564601,1787895824.3364408,1787895825.829622,
doc236_q0,True,2.690572738647461,4.179596662521362,16023,128,85.96235288617144,1787895821.6583757,1787895824.3489485,1787895825.8379724,
doc111_q2,True,2.8537421226501465,6.3403613567352295,16024,128,36.711780497473285,1787895825.829863,1787895828.6836052,1787895832.1702244,
doc143_q2,True,4.927109956741333,6.436549186706543,16024,128,84.79970406158729,1787895825.8380537,1787895830.7651637,1787895832.274603,
doc73_q2,True,2.8289263248443604,6.488166332244873,16023,128,34.979941119229814,1787895832.1705377,1787895834.999464,1787895838.658704,
doc48_q1,True,4.784968137741089,6.484074831008911,16023,128,75.33370359092804,1787895832.2747478,1787895837.059716,1787895838.7588227,
doc201_q0,True,2.826246976852417,6.270744562149048,16023,128,37.16071700743462,1787895838.6589327,1787895841.4851797,1787895844.9296772,
doc13_q0,True,4.774706840515137,6.263598203659058,16022,128,85.97000638765013,1787895838.7589374,1787895843.5336442,1787895845.0225356,
doc80_q2,True,2.785407066345215,6.476898908615112,16023,128,34.67432828492798,1787895844.9297664,1787895847.7151735,1787895851.4066653,
doc239_q0,True,4.792112827301025,6.479870319366455,16023,128,75.84027954357188,1787895845.0226634,1787895849.8147762,1787895851.5025337,
doc84_q0,True,2.7727115154266357,6.43319845199585,16022,128,34.96802535237779,1787895851.406869,1787895854.1795805,1787895857.8400674,
doc71_q1,True,4.741159677505493,6.433849334716797,16023,128,75.61929586719354,1787895851.5026112,1787895856.2437708,1787895857.9364605,
doc172_q0,True,2.782564878463745,4.476994037628174,16023,128,75.54166505439534,1787895857.84038,1787895860.6229448,1787895862.317374,
doc279_q0,True,2.691761016845703,4.392837762832642,16023,128,75.24645804603976,1787895857.9365697,1787895860.6283307,1787895862.3294075,
doc132_q2,True,2.911797046661377,6.370066165924072,16024,128,37.012735442431286,1787895862.3175752,1787895865.2293723,1787895868.6876414,
doc105_q2,True,4.947880983352661,6.4626312255859375,16024,128,84.50237962086926,1787895862.3295007,1787895867.2773817,1787895868.792132,
doc170_q1,True,2.8362903594970703,6.493699073791504,16024,128,34.99745584892692,1787895868.6879137,1787895871.524204,1787895875.1816127,
doc281_q1,True,4.8197290897369385,6.497026443481445,16024,128,76.31324267831494,1787895868.792298,1787895873.6120272,1787895875.2893245,
doc3_q1,True,2.9134116172790527,6.493755578994751,16022,128,35.75075505836665,1787895875.1819189,1787895878.0953305,1787895881.6756744,
doc249_q0,True,4.797300100326538,6.486640453338623,16023,128,75.76921948959348,1787895875.2894611,1787895880.0867612,1787895881.7761016,
doc183_q1,True,2.815746784210205,6.467414140701294,16024,128,35.052480827003926,1787895881.6759377,1787895884.4916844,1787895888.1433518,
doc109_q1,True,4.788538932800293,6.46284556388855,16024,128,76.44955686331079,1787895881.7762418,1787895886.5647807,1787895888.2390873,
doc228_q2,True,2.7819936275482178,4.497461557388306,16024,128,74.61521009718432,1787895888.143634,1787895890.9256277,1787895892.6410956,
doc4_q1,True,2.7013092041015625,4.4071385860443115,16022,128,75.03681279907508,1787895888.23916,1787895890.9404693,1787895892.6462986,
doc275_q1,True,2.8607470989227295,6.506547212600708,16024,128,35.10889132944545,1787895892.6413908,1787895895.502138,1787895899.147938,
doc180_q0,True,4.918315649032593,6.600008726119995,16023,128,76.11376995241532,1787895892.6463408,1787895897.5646565,1787895899.2463496,
doc264_q2,True,2.806929588317871,6.454666614532471,16024,128,35.09024885295271,1787895899.1482027,1787895901.9551322,1787895905.6028693,
doc270_q1,True,4.757972955703735,6.45244026184082,16024,128,75.53996441029274,1787895899.2464736,1787895904.0044465,1787895905.6989138,
doc78_q1,True,2.8164761066436768,6.4788525104522705,16023,128,34.9499848969346,1787895905.6031706,1787895908.4196467,1787895912.0820231,
doc10_q0,True,4.785270929336548,6.499964475631714,16022,128,74.64890754185306,1787895905.698983,1787895910.484254,1787895912.1989474,
doc199_q0,True,2.812877893447876,4.527925252914429,16023,128,74.6335075200565,1787895912.0823333,1787895914.8952112,1787895916.6102586,
doc80_q1,True,2.7103865146636963,4.419824600219727,16023,128,74.87840658374319,1787895912.1990762,1787895914.9094627,1787895916.6189008,
doc196_q1,True,2.8727920055389404,6.5230042934417725,16024,128,35.06645364824528,1787895916.6106029,1787895919.4833949,1787895923.1336071,
doc31_q0,True,4.921305418014526,6.612971544265747,16022,128,75.66504880230212,1787895916.6190078,1787895921.5403132,1787895923.2319794,
doc118_q1,True,2.8136186599731445,6.452763557434082,16024,128,35.173097968510874,1787895923.133916,1787895925.9475346,1787895929.5866795,
doc60_q1,True,4.757418155670166,6.453839540481567,16023,128,75.45295122192198,1787895923.2320838,1787895927.989502,1787895929.6859233,
